"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_2323",0,7,0,0,0,0,19,13,0,0,6,4,0,3,0,0,0,0
"OTU_23",95,70,177,196,226,0,451,629,423,244,244,191,491,167,230,525,351,63
"OTU_2324",11,0,0,0,0,0,0,0,0,0,16,0,0,9,0,18,0,0
"OTU_2325",18,16,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0
"OTU_2326",0,0,0,10,0,0,0,6,0,0,9,13,5,0,5,3,2,11
"OTU_233",104,84,126,99,90,0,0,0,39,43,55,0,76,62,46,0,29,58
"OTU_2338",0,0,11,18,0,0,0,0,0,10,0,10,0,0,0,0,0,0
"OTU_2340",0,0,0,0,0,0,0,0,0,10,0,0,0,9,9,20,0,0
"OTU_2341",12,0,0,0,0,0,12,0,0,0,0,0,15,17,0,0,0,0
"OTU_2342",10,7,9,8,0,0,0,0,0,0,7,0,0,14,0,0,0,12
"OTU_2347",0,0,0,13,8,0,0,0,0,0,0,0,20,18,0,0,0,0
"OTU_2349",0,0,0,5,0,0,15,0,11,0,12,0,0,6,0,0,7,0
"OTU_234",141,95,139,78,118,0,21,35,45,0,15,32,0,37,25,0,23,16
"OTU_2350",0,0,0,0,0,0,0,0,13,0,0,26,0,0,12,0,15,0
"OTU_2359",12,0,0,13,12,0,6,0,4,0,4,0,5,6,0,0,0,0
"OTU_235",38,78,80,77,51,0,49,102,0,42,75,73,54,0,42,101,43,56
"OTU_2360",0,0,7,0,0,0,0,7,0,0,0,14,0,6,5,4,0,14
"OTU_2362",0,8,13,0,5,0,0,0,9,0,0,7,0,6,0,0,6,0
"OTU_2364",0,0,0,0,0,0,0,0,12,0,11,16,0,11,0,0,0,0
"OTU_2365",6,0,0,11,0,0,3,7,0,0,9,0,11,0,0,5,0,11
"OTU_236",46,39,32,45,55,0,50,87,58,0,91,47,66,143,57,79,47,0
"OTU_2366",8,0,11,0,0,0,0,0,0,0,0,14,9,0,0,0,13,10
"OTU_2369",0,0,0,10,0,0,0,0,0,0,12,15,11,7,0,0,0,0
"OTU_237",82,115,97,0,121,0,125,0,0,0,0,0,117,0,105,51,95,0
"OTU_2371",0,0,0,0,0,0,5,0,6,0,19,0,0,8,19,3,0,0
"OTU_2374",0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,12,15,0
"OTU_2378",0,5,4,4,4,0,0,15,11,0,6,0,0,0,10,0,0,0
"OTU_2379",6,7,7,0,2,0,5,6,0,0,2,2,0,0,4,0,3,0
"OTU_238",99,43,52,84,40,0,27,31,65,46,16,26,55,11,0,0,75,41
"OTU_2383",14,0,0,7,10,0,0,0,0,12,7,0,0,0,0,10,0,0
"OTU_2384",6,0,10,8,0,0,0,19,0,0,0,12,0,0,0,0,0,11
"OTU_239",0,0,31,30,0,442,0,38,208,37,0,55,28,0,20,35,51,31
"OTU_2397",0,13,0,0,0,10,6,8,7,0,0,0,0,0,0,3,0,0
"OTU_2399",0,9,3,0,8,0,3,0,0,0,0,7,0,0,0,11,0,0
"OTU_2402",10,5,0,0,6,0,7,0,0,4,0,5,11,8,0,0,0,0
"OTU_2404",5,0,0,8,0,0,0,5,0,0,5,11,0,11,3,0,3,0
"OTU_2405",0,10,10,0,0,0,17,0,12,0,0,0,0,0,0,0,14,0
"OTU_240",55,84,68,40,25,0,36,63,49,34,91,85,25,50,56,52,37,46
"OTU_2408",0,0,0,9,11,0,0,0,8,0,0,17,5,0,0,0,0,0
"OTU_2411",0,0,0,0,5,0,18,0,0,0,0,0,0,0,22,8,0,0
"OTU_2416",0,0,4,6,0,0,0,3,7,0,0,0,0,6,0,0,0,0
"OTU_2417",7,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,15,15
"OTU_241",67,69,54,59,90,0,40,34,41,32,71,66,60,44,48,34,30,61
"OTU_2421",0,14,0,0,7,0,7,0,9,3,0,0,0,0,11,0,0,0
"OTU_2423",5,0,0,0,0,0,3,0,9,6,0,0,4,0,15,11,0,0
"OTU_2424",0,8,0,11,0,0,9,0,0,0,18,0,0,0,10,0,0,0
"OTU_2426",0,10,0,13,0,0,5,11,0,0,0,0,0,11,0,10,0,0
"OTU_2427",0,0,0,27,13,0,0,0,0,0,0,12,0,0,6,0,0,0
"OTU_242",99,65,38,63,91,0,57,94,65,96,74,70,58,43,0,44,0,0
"OTU_2428",0,0,0,5,0,0,7,8,9,6,0,0,0,0,18,1,0,6
