"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_203",56,0,11,34,34,0,32,22,20,131,88,21,105,32,60,17,132,28
"OTU_213",0,0,0,28,0,0,17,0,0,60,347,0,64,0,0,54,100,59
"OTU_216",53,16,35,51,54,0,40,79,0,0,76,57,36,102,118,62,37,59
"OTU_219",130,55,25,212,61,7,119,14,20,0,0,0,13,28,15,11,17,11
"OTU_223",147,112,149,111,121,0,0,0,71,0,64,0,0,55,0,0,0,0
"OTU_224",45,67,84,57,39,0,24,31,34,50,16,84,32,44,48,43,52,44
"OTU_225",46,30,31,0,17,0,10,0,0,25,62,0,41,266,69,121,46,146
"OTU_232",65,106,80,88,51,0,46,36,18,0,63,73,35,67,47,26,35,37
"OTU_235",0,9,0,10,9,0,20,0,20,335,0,20,14,0,24,0,34,81
"OTU_237",19,45,723,10,20,0,5,16,26,0,0,14,0,0,10,7,6,10
"OTU_241",25,37,91,29,51,0,29,84,14,13,42,21,31,45,27,35,116,25
"OTU_245",0,26,14,0,0,670,0,0,0,0,0,0,0,0,0,0,238,0
"OTU_246",31,0,153,69,25,13,10,4,73,12,0,10,23,0,0,38,44,143
"OTU_251",0,93,0,13,0,0,290,226,10,9,0,0,7,0,28,0,37,4
"OTU_255",28,100,71,42,31,28,25,23,60,107,11,49,0,15,63,26,20,47
"OTU_256",20,17,26,39,66,0,50,60,6,24,38,16,61,12,58,135,47,51
"OTU_257",42,28,36,48,57,34,38,54,26,0,40,65,34,69,49,46,53,59
"OTU_260",21,33,47,51,43,14,31,35,17,75,28,40,42,53,39,45,56,34
"OTU_261",47,52,58,34,49,48,29,38,21,48,26,88,30,40,67,39,41,29
"OTU_265",82,23,63,39,30,0,0,21,0,0,34,18,0,83,75,15,0,284
"OTU_279",62,41,54,60,71,0,20,45,0,9,17,56,20,37,39,27,14,21
"OTU_281",42,56,37,41,49,0,23,38,36,20,22,62,35,94,89,60,37,50
"OTU_283",5,17,16,20,84,0,11,39,30,6,23,45,75,42,119,70,59,13
"OTU_284",24,0,21,71,34,0,37,132,54,0,41,57,0,138,84,24,18,45
"OTU_286",108,76,93,63,102,0,47,54,23,0,17,79,17,0,27,0,0,0
"OTU_289",53,65,53,66,63,0,25,34,19,18,56,52,25,20,37,18,27,39
"OTU_290",63,45,31,28,52,0,21,58,14,0,56,32,27,130,42,29,13,19
"OTU_296",35,0,56,39,0,0,44,42,37,85,0,0,64,0,0,54,37,25
"OTU_298",38,37,33,48,32,0,35,60,15,10,60,35,19,27,36,23,28,57
"OTU_299",27,0,32,0,19,0,0,81,20,62,47,0,108,0,38,98,23,0
"OTU_306",33,0,17,17,20,38,108,32,102,12,34,30,30,9,26,57,51,53
"OTU_307",0,52,0,60,0,0,20,55,35,0,42,70,38,73,107,28,47,58
"OTU_309",61,70,0,63,57,0,0,0,0,0,40,100,36,42,94,42,25,38
"OTU_310",11,9,16,51,25,0,21,29,19,4,91,29,40,145,64,25,16,58
"OTU_313",29,120,137,24,38,18,34,27,100,24,0,40,0,5,90,16,0,8
"OTU_314",59,93,47,69,0,0,50,37,0,14,28,45,18,29,30,26,38,22
"OTU_325",35,53,45,36,24,0,41,29,16,32,18,61,30,26,49,38,26,26
"OTU_329",58,33,0,45,55,0,45,50,34,23,96,0,54,119,0,0,11,10
"OTU_331",42,63,94,21,90,66,0,28,101,0,0,0,17,10,0,28,34,0
"OTU_358",4,15,0,0,0,631,0,0,0,0,0,0,0,12,0,0,0,12
"OTU_359",125,79,95,67,80,0,0,64,0,0,0,26,0,0,0,0,0,0
"OTU_364",0,17,147,0,4,20,6,0,333,13,4,25,0,0,10,3,0,3
"OTU_365",6,6,40,0,0,226,0,0,9,0,0,3,186,0,0,28,0,11
"OTU_370",64,23,0,20,11,159,41,35,17,0,14,110,0,0,42,0,0,88
"OTU_371",8,62,53,40,23,0,16,25,29,0,36,26,24,66,44,26,33,14
"OTU_386",35,62,25,39,66,13,15,19,0,10,21,16,22,60,28,18,12,46
"OTU_401",73,0,12,10,0,14,278,11,45,6,2,15,6,19,21,0,0,13
"OTU_421",0,0,35,0,36,0,47,48,0,26,50,45,61,72,0,61,0,30
"OTU_447",12,0,96,39,0,413,33,46,0,0,0,0,0,0,0,0,0,0
"OTU_452",23,28,0,0,55,344,0,37,0,0,0,0,0,16,0,0,0,0
