"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_202",6,116,16,5,35,0,174,22,39,229,13,34,18,0,21,28,70,24
"OTU_203",55,0,7,31,35,0,33,25,17,130,83,18,100,24,59,18,122,31
"OTU_209",18,10,13,28,8,4,9,57,14,18,38,85,16,8,14,3,18,11
"OTU_213",0,0,0,22,0,0,20,0,0,56,334,0,58,0,0,61,103,65
"OTU_215",30,120,16,6,14,0,0,9,0,0,0,0,0,0,7,0,0,0
"OTU_216",50,20,43,47,58,0,37,83,0,0,88,61,35,96,135,58,42,56
"OTU_219",135,55,24,226,54,7,112,18,20,0,0,0,16,29,15,11,16,13
"OTU_223",138,117,142,108,121,0,0,0,69,0,78,0,0,62,0,0,0,0
"OTU_224",44,66,89,69,39,0,19,27,36,60,22,84,31,48,51,48,33,47
"OTU_225",51,31,33,0,18,0,7,0,0,20,48,0,34,283,71,115,45,126
"OTU_232",56,104,71,98,51,0,46,36,16,0,53,81,41,72,48,23,26,34
"OTU_235",0,11,0,8,9,0,21,0,18,342,0,19,13,0,23,0,35,73
"OTU_237",27,43,738,10,15,0,6,13,30,0,0,14,0,0,16,5,6,13
"OTU_241",33,36,77,32,58,0,27,83,14,20,39,17,27,47,32,39,102,26
"OTU_245",0,21,15,0,0,670,0,0,0,0,0,0,0,0,0,0,240,0
"OTU_246",19,0,142,72,31,13,9,4,62,19,0,9,16,0,0,39,55,132
"OTU_251",0,95,0,20,0,0,284,211,14,9,0,0,9,0,23,0,30,6
"OTU_255",34,98,74,41,36,28,25,18,76,88,13,58,0,10,54,34,18,44
"OTU_256",19,20,29,39,53,0,55,58,2,27,33,21,56,15,55,131,54,54
"OTU_257",43,31,37,42,44,34,28,52,34,0,39,76,38,65,46,40,50,56
"OTU_260",37,33,37,42,45,14,34,40,15,57,30,40,46,55,39,38,46,30
"OTU_261",47,46,67,35,53,48,24,36,28,46,19,101,24,34,65,39,40,25
"OTU_265",80,23,73,31,26,0,0,19,0,0,28,17,0,95,82,18,0,276
"OTU_279",65,49,61,67,87,0,15,44,0,8,20,53,18,35,44,17,15,13
"OTU_281",54,53,35,41,54,0,22,41,33,14,28,62,33,80,86,56,43,46
"OTU_283",6,12,16,20,73,0,9,41,33,4,17,50,74,42,128,79,58,15
"OTU_284",24,0,24,60,34,0,37,132,50,0,31,62,0,131,68,18,34,39
"OTU_286",117,70,90,60,95,0,44,48,25,0,16,88,16,0,31,0,0,0
"OTU_289",53,59,62,60,66,0,21,41,17,20,61,56,22,17,29,24,30,40
"OTU_290",60,42,27,36,59,0,19,54,12,0,50,37,30,117,36,25,20,11
"OTU_296",37,0,51,32,0,0,45,42,33,92,0,0,71,0,0,52,40,26
"OTU_298",41,38,29,45,30,0,37,69,16,15,58,32,25,27,34,26,24,55
"OTU_299",25,0,35,0,23,0,0,72,18,64,39,0,106,0,36,103,27,0
"OTU_306",35,0,19,21,18,38,102,26,101,14,41,30,24,10,27,48,42,48
"OTU_307",0,54,0,66,0,0,23,56,36,0,42,69,46,75,107,36,29,60
"OTU_309",50,72,0,62,54,0,0,0,0,0,43,93,25,44,100,53,27,45
"OTU_310",12,14,17,47,16,0,17,38,24,3,85,28,40,154,61,29,16,68
"OTU_313",25,118,129,29,36,18,41,28,88,25,0,41,0,7,78,19,0,10
"OTU_314",61,95,45,59,0,0,50,32,0,14,20,38,25,28,28,33,31,25
"OTU_323",17,11,12,12,8,0,8,82,11,8,18,117,16,0,21,48,35,9
"OTU_325",39,54,43,41,17,0,32,27,16,35,18,58,31,30,47,36,26,32
"OTU_329",72,31,0,43,49,0,35,56,37,15,81,0,51,113,0,0,7,11
"OTU_331",35,58,89,25,89,66,0,25,115,0,0,0,18,11,0,33,34,0
"OTU_351",53,20,37,21,28,8,47,42,4,3,14,52,14,8,2,49,12,10
