,name,Genus
rpoB_OTU_358,rpoB_OTU_358,Others
rpoB_OTU_359,rpoB_OTU_359,Others
rpoB_OTU_364,rpoB_OTU_364,Others
rpoB_OTU_365,rpoB_OTU_365,Others
rpoB_OTU_370,rpoB_OTU_370,Mesorhizobium
rpoB_OTU_371,rpoB_OTU_371,Others
rpoB_OTU_386,rpoB_OTU_386,Brucella
rpoB_OTU_401,rpoB_OTU_401,Others
rpoB_OTU_421,rpoB_OTU_421,Others
rpoB_OTU_447,rpoB_OTU_447,Brucella
rpoB_OTU_452,rpoB_OTU_452,Others
AMF_OTU_101,AMF_OTU_101,AMF
AMF_OTU_102,AMF_OTU_102,AMF
AMF_OTU_103,AMF_OTU_103,AMF
AMF_OTU_104,AMF_OTU_104,AMF
AMF_OTU_105,AMF_OTU_105,AMF
AMF_OTU_106,AMF_OTU_106,AMF
AMF_OTU_107,AMF_OTU_107,AMF
AMF_OTU_10,AMF_OTU_10,AMF
AMF_OTU_108,AMF_OTU_108,AMF
AMF_OTU_109,AMF_OTU_109,AMF
AMF_OTU_110,AMF_OTU_110,AMF
AMF_OTU_111,AMF_OTU_111,AMF
AMF_OTU_112,AMF_OTU_112,AMF
AMF_OTU_113,AMF_OTU_113,AMF
AMF_OTU_11,AMF_OTU_11,AMF
AMF_OTU_114,AMF_OTU_114,AMF
AMF_OTU_116,AMF_OTU_116,AMF
AMF_OTU_117,AMF_OTU_117,AMF
AMF_OTU_119,AMF_OTU_119,AMF
AMF_OTU_120,AMF_OTU_120,AMF
AMF_OTU_121,AMF_OTU_121,AMF
AMF_OTU_12,AMF_OTU_12,AMF
AMF_OTU_124,AMF_OTU_124,AMF
AMF_OTU_125,AMF_OTU_125,AMF
AMF_OTU_127,AMF_OTU_127,AMF
AMF_OTU_128,AMF_OTU_128,AMF
AMF_OTU_130,AMF_OTU_130,AMF
AMF_OTU_13,AMF_OTU_13,AMF
AMF_OTU_131,AMF_OTU_131,AMF
AMF_OTU_133,AMF_OTU_133,AMF
AMF_OTU_134,AMF_OTU_134,AMF
AMF_OTU_135,AMF_OTU_135,AMF
AMF_OTU_136,AMF_OTU_136,AMF
AMF_OTU_137,AMF_OTU_137,AMF
AMF_OTU_138,AMF_OTU_138,AMF
AMF_OTU_139,AMF_OTU_139,AMF
AMF_OTU_140,AMF_OTU_140,AMF
AMF_OTU_14,AMF_OTU_14,AMF
AMF_OTU_141,AMF_OTU_141,AMF
AMF_OTU_142,AMF_OTU_142,AMF
AMF_OTU_143,AMF_OTU_143,AMF
AMF_OTU_144,AMF_OTU_144,AMF
AMF_OTU_145,AMF_OTU_145,AMF
AMF_OTU_146,AMF_OTU_146,AMF
AMF_OTU_147,AMF_OTU_147,AMF
AMF_OTU_148,AMF_OTU_148,AMF
AMF_OTU_149,AMF_OTU_149,AMF
AMF_OTU_150,AMF_OTU_150,AMF
AMF_OTU_152,AMF_OTU_152,AMF
AMF_OTU_153,AMF_OTU_153,AMF
AMF_OTU_154,AMF_OTU_154,AMF
AMF_OTU_155,AMF_OTU_155,AMF
AMF_OTU_15,AMF_OTU_15,AMF
AMF_OTU_156,AMF_OTU_156,AMF
AMF_OTU_157,AMF_OTU_157,AMF
AMF_OTU_158,AMF_OTU_158,AMF
AMF_OTU_159,AMF_OTU_159,AMF
AMF_OTU_16,AMF_OTU_16,AMF
AMF_OTU_161,AMF_OTU_161,AMF
AMF_OTU_162,AMF_OTU_162,AMF
AMF_OTU_165,AMF_OTU_165,AMF
AMF_OTU_166,AMF_OTU_166,AMF
AMF_OTU_167,AMF_OTU_167,AMF
AMF_OTU_169,AMF_OTU_169,AMF
AMF_OTU_170,AMF_OTU_170,AMF
AMF_OTU_171,AMF_OTU_171,AMF
AMF_OTU_172,AMF_OTU_172,AMF
AMF_OTU_173,AMF_OTU_173,AMF
AMF_OTU_175,AMF_OTU_175,AMF
AMF_OTU_176,AMF_OTU_176,AMF
AMF_OTU_177,AMF_OTU_177,AMF
AMF_OTU_17,AMF_OTU_17,AMF
AMF_OTU_178,AMF_OTU_178,AMF
AMF_OTU_179,AMF_OTU_179,AMF
AMF_OTU_180,AMF_OTU_180,AMF
AMF_OTU_18,AMF_OTU_18,AMF
AMF_OTU_181,AMF_OTU_181,AMF
AMF_OTU_182,AMF_OTU_182,AMF
AMF_OTU_183,AMF_OTU_183,AMF
AMF_OTU_184,AMF_OTU_184,AMF
AMF_OTU_186,AMF_OTU_186,AMF
AMF_OTU_188,AMF_OTU_188,AMF
AMF_OTU_189,AMF_OTU_189,AMF
AMF_OTU_190,AMF_OTU_190,AMF
AMF_OTU_192,AMF_OTU_192,AMF
AMF_OTU_1,AMF_OTU_1,AMF
AMF_OTU_194,AMF_OTU_194,AMF
AMF_OTU_19,AMF_OTU_19,AMF
AMF_OTU_195,AMF_OTU_195,AMF
AMF_OTU_196,AMF_OTU_196,AMF
AMF_OTU_198,AMF_OTU_198,AMF
AMF_OTU_199,AMF_OTU_199,AMF
AMF_OTU_20,AMF_OTU_20,AMF
AMF_OTU_201,AMF_OTU_201,AMF
AMF_OTU_203,AMF_OTU_203,AMF
AMF_OTU_204,AMF_OTU_204,AMF
AMF_OTU_206,AMF_OTU_206,AMF
AMF_OTU_21,AMF_OTU_21,AMF
AMF_OTU_2,AMF_OTU_2,AMF
AMF_OTU_22,AMF_OTU_22,AMF
AMF_OTU_23,AMF_OTU_23,AMF
AMF_OTU_24,AMF_OTU_24,AMF
AMF_OTU_25,AMF_OTU_25,AMF
AMF_OTU_26,AMF_OTU_26,AMF
AMF_OTU_27,AMF_OTU_27,AMF
AMF_OTU_28,AMF_OTU_28,AMF
AMF_OTU_29,AMF_OTU_29,AMF
AMF_OTU_30,AMF_OTU_30,AMF
AMF_OTU_31,AMF_OTU_31,AMF
AMF_OTU_3,AMF_OTU_3,AMF
AMF_OTU_32,AMF_OTU_32,AMF
AMF_OTU_33,AMF_OTU_33,AMF
AMF_OTU_34,AMF_OTU_34,AMF
AMF_OTU_35,AMF_OTU_35,AMF
AMF_OTU_36,AMF_OTU_36,AMF
AMF_OTU_37,AMF_OTU_37,AMF
AMF_OTU_38,AMF_OTU_38,AMF
AMF_OTU_39,AMF_OTU_39,AMF
AMF_OTU_40,AMF_OTU_40,AMF
AMF_OTU_41,AMF_OTU_41,AMF
AMF_OTU_4,AMF_OTU_4,AMF
AMF_OTU_42,AMF_OTU_42,AMF
AMF_OTU_43,AMF_OTU_43,AMF
AMF_OTU_44,AMF_OTU_44,AMF
AMF_OTU_46,AMF_OTU_46,AMF
AMF_OTU_47,AMF_OTU_47,AMF
AMF_OTU_49,AMF_OTU_49,AMF
AMF_OTU_50,AMF_OTU_50,AMF
AMF_OTU_51,AMF_OTU_51,AMF
AMF_OTU_52,AMF_OTU_52,AMF
AMF_OTU_53,AMF_OTU_53,AMF
AMF_OTU_54,AMF_OTU_54,AMF
AMF_OTU_5,AMF_OTU_5,AMF
AMF_OTU_55,AMF_OTU_55,AMF
AMF_OTU_56,AMF_OTU_56,AMF
AMF_OTU_57,AMF_OTU_57,AMF
AMF_OTU_58,AMF_OTU_58,AMF
AMF_OTU_59,AMF_OTU_59,AMF
AMF_OTU_60,AMF_OTU_60,AMF
AMF_OTU_61,AMF_OTU_61,AMF
AMF_OTU_62,AMF_OTU_62,AMF
AMF_OTU_63,AMF_OTU_63,AMF
AMF_OTU_64,AMF_OTU_64,AMF
AMF_OTU_65,AMF_OTU_65,AMF
AMF_OTU_66,AMF_OTU_66,AMF
AMF_OTU_67,AMF_OTU_67,AMF
AMF_OTU_68,AMF_OTU_68,AMF
AMF_OTU_6,AMF_OTU_6,AMF
AMF_OTU_69,AMF_OTU_69,AMF
AMF_OTU_70,AMF_OTU_70,AMF
AMF_OTU_71,AMF_OTU_71,AMF
AMF_OTU_7,AMF_OTU_7,AMF
AMF_OTU_72,AMF_OTU_72,AMF
AMF_OTU_73,AMF_OTU_73,AMF
AMF_OTU_74,AMF_OTU_74,AMF
AMF_OTU_75,AMF_OTU_75,AMF
AMF_OTU_76,AMF_OTU_76,AMF
AMF_OTU_77,AMF_OTU_77,AMF
AMF_OTU_78,AMF_OTU_78,AMF
AMF_OTU_79,AMF_OTU_79,AMF
AMF_OTU_80,AMF_OTU_80,AMF
AMF_OTU_8,AMF_OTU_8,AMF
AMF_OTU_81,AMF_OTU_81,AMF
AMF_OTU_82,AMF_OTU_82,AMF
AMF_OTU_83,AMF_OTU_83,AMF
AMF_OTU_84,AMF_OTU_84,AMF
AMF_OTU_85,AMF_OTU_85,AMF
AMF_OTU_86,AMF_OTU_86,AMF
AMF_OTU_87,AMF_OTU_87,AMF
AMF_OTU_88,AMF_OTU_88,AMF
AMF_OTU_89,AMF_OTU_89,AMF
AMF_OTU_90,AMF_OTU_90,AMF
AMF_OTU_91,AMF_OTU_91,AMF
AMF_OTU_92,AMF_OTU_92,AMF
AMF_OTU_9,AMF_OTU_9,AMF
AMF_OTU_93,AMF_OTU_93,AMF
AMF_OTU_94,AMF_OTU_94,AMF
AMF_OTU_95,AMF_OTU_95,AMF
AMF_OTU_96,AMF_OTU_96,AMF
AMF_OTU_97,AMF_OTU_97,AMF
AMF_OTU_98,AMF_OTU_98,AMF
AMF_OTU_99,AMF_OTU_99,AMF
