,node1,node2,weight2,weight,i,j,weight2
68,rpoB_OTU_20,rpoB_OTU_313,-0.020569449,0.020569449,r,r,-0.020569449
69,rpoB_OTU_20,rpoB_OTU_331,-0.117073093,0.117073093,r,r,-0.117073093
70,rpoB_OTU_20,AMF_OTU_162,0.00047993,0.00047993,r,A,-0.00047993
71,rpoB_OTU_21,rpoB_OTU_83,0.044694532,0.044694532,r,r,-0.044694532
72,rpoB_OTU_21,rpoB_OTU_149,-0.062789625,0.062789625,r,r,-0.062789625
73,rpoB_OTU_21,AMF_OTU_153,0.015348507,0.015348507,r,A,-0.015348507
74,rpoB_OTU_21,AMF_OTU_70,0.014403202,0.014403202,r,A,-0.014403202
75,rpoB_OTU_21,AMF_OTU_77,0.003792826,0.003792826,r,A,-0.003792826
76,rpoB_OTU_23,rpoB_OTU_120,0.33040067,0.33040067,r,r,-0.33040067
77,rpoB_OTU_23,rpoB_OTU_137,0.117073615,0.117073615,r,r,-0.117073615
78,rpoB_OTU_23,rpoB_OTU_279,0.171611584,0.171611584,r,r,-0.171611584
79,rpoB_OTU_23,rpoB_OTU_290,0.028931212,0.028931212,r,r,-0.028931212
80,rpoB_OTU_23,rpoB_OTU_386,0.028188672,0.028188672,r,r,-0.028188672
81,rpoB_OTU_29,rpoB_OTU_35,0.142731079,0.142731079,r,r,-0.142731079
82,rpoB_OTU_29,rpoB_OTU_49,0.111660941,0.111660941,r,r,-0.111660941
83,rpoB_OTU_29,rpoB_OTU_134,0.040031985,0.040031985,r,r,-0.040031985
84,rpoB_OTU_29,rpoB_OTU_158,-0.208141971,0.208141971,r,r,-0.208141971
85,rpoB_OTU_29,rpoB_OTU_163,0.193979364,0.193979364,r,r,-0.193979364
86,rpoB_OTU_29,rpoB_OTU_216,0.024066105,0.024066105,r,r,-0.024066105
87,rpoB_OTU_29,rpoB_OTU_256,0.035669034,0.035669034,r,r,-0.035669034
88,rpoB_OTU_29,AMF_OTU_2,0.062382416,0.062382416,r,A,-0.062382416
89,rpoB_OTU_29,AMF_OTU_77,0.000432072,0.000432072,r,A,-0.000432072
90,rpoB_OTU_34,rpoB_OTU_107,0.080826869,0.080826869,r,r,-0.080826869
91,rpoB_OTU_34,rpoB_OTU_157,0.056664218,0.056664218,r,r,-0.056664218
92,rpoB_OTU_34,rpoB_OTU_191,0.083179718,0.083179718,r,r,-0.083179718
93,rpoB_OTU_34,AMF_OTU_145,0.207832097,0.207832097,r,A,-0.207832097
94,rpoB_OTU_34,AMF_OTU_53,0.122083926,0.122083926,r,A,-0.122083926
95,rpoB_OTU_34,AMF_OTU_78,0.050543361,0.050543361,r,A,-0.050543361
96,rpoB_OTU_35,rpoB_OTU_173,0.029412202,0.029412202,r,r,-0.029412202
97,rpoB_OTU_35,AMF_OTU_138,0.038013431,0.038013431,r,A,-0.038013431
98,rpoB_OTU_35,AMF_OTU_203,0.125096045,0.125096045,r,A,-0.125096045
99,rpoB_OTU_35,AMF_OTU_90,0.039827071,0.039827071,r,A,-0.039827071
100,rpoB_OTU_38,rpoB_OTU_120,0.024970815,0.024970815,r,r,-0.024970815
101,rpoB_OTU_38,rpoB_OTU_219,0.064485361,0.064485361,r,r,-0.064485361
102,rpoB_OTU_38,rpoB_OTU_223,0.195598803,0.195598803,r,r,-0.195598803
103,rpoB_OTU_38,rpoB_OTU_359,0.000770614,0.000770614,r,r,-0.000770614
104,rpoB_OTU_38,AMF_OTU_14,0.098420714,0.098420714,r,A,-0.098420714
105,rpoB_OTU_38,AMF_OTU_31,0.040461478,0.040461478,r,A,-0.040461478
106,rpoB_OTU_38,AMF_OTU_53,0.001364542,0.001364542,r,A,-0.001364542
107,rpoB_OTU_38,AMF_OTU_69,0.019127292,0.019127292,r,A,-0.019127292
108,rpoB_OTU_38,AMF_OTU_9,0.016044414,0.016044414,r,A,-0.016044414
109,rpoB_OTU_42,rpoB_OTU_70,0.121105751,0.121105751,r,r,-0.121105751
110,rpoB_OTU_42,rpoB_OTU_108,0.131256892,0.131256892,r,r,-0.131256892
111,rpoB_OTU_42,rpoB_OTU_120,0.12559233,0.12559233,r,r,-0.12559233
112,rpoB_OTU_42,rpoB_OTU_174,0.14920301,0.14920301,r,r,-0.14920301
113,rpoB_OTU_42,rpoB_OTU_223,0.180777494,0.180777494,r,r,-0.180777494
114,rpoB_OTU_42,rpoB_OTU_279,0.003504014,0.003504014,r,r,-0.003504014
115,rpoB_OTU_42,rpoB_OTU_286,0.261526667,0.261526667,r,r,-0.261526667
116,rpoB_OTU_42,rpoB_OTU_359,0.541449464,0.541449464,r,r,-0.541449464
117,rpoB_OTU_43,rpoB_OTU_168,0.083314544,0.083314544,r,r,-0.083314544
118,rpoB_OTU_43,rpoB_OTU_178,0.037019817,0.037019817,r,r,-0.037019817
119,rpoB_OTU_43,rpoB_OTU_279,0.055143341,0.055143341,r,r,-0.055143341
120,rpoB_OTU_43,rpoB_OTU_309,0.009643942,0.009643942,r,r,-0.009643942
121,rpoB_OTU_43,AMF_OTU_112,0.252906393,0.252906393,r,A,-0.252906393
122,rpoB_OTU_49,rpoB_OTU_163,0.09307652,0.09307652,r,r,-0.09307652
123,rpoB_OTU_49,rpoB_OTU_216,0.062128593,0.062128593,r,r,-0.062128593
124,rpoB_OTU_49,rpoB_OTU_310,0.008531321,0.008531321,r,r,-0.008531321
125,rpoB_OTU_49,rpoB_OTU_331,-0.025903985,0.025903985,r,r,-0.025903985
126,rpoB_OTU_49,AMF_OTU_10,0.012782714,0.012782714,r,A,-0.012782714
127,rpoB_OTU_49,AMF_OTU_56,0.019052633,0.019052633,r,A,-0.019052633
128,rpoB_OTU_50,rpoB_OTU_65,0.030381924,0.030381924,r,r,-0.030381924
129,rpoB_OTU_50,rpoB_OTU_96,0.095111955,0.095111955,r,r,-0.095111955
130,rpoB_OTU_50,rpoB_OTU_125,-0.014605732,0.014605732,r,r,-0.014605732
131,rpoB_OTU_50,rpoB_OTU_134,0.030389211,0.030389211,r,r,-0.030389211
132,rpoB_OTU_50,rpoB_OTU_138,0.080534416,0.080534416,r,r,-0.080534416
133,rpoB_OTU_65,rpoB_OTU_70,-0.061761459,0.061761459,r,r,-0.061761459
134,rpoB_OTU_65,rpoB_OTU_93,0.080947633,0.080947633,r,r,-0.080947633
135,rpoB_OTU_65,rpoB_OTU_174,-0.063034962,0.063034962,r,r,-0.063034962
136,rpoB_OTU_65,rpoB_OTU_203,0.010337171,0.010337171,r,r,-0.010337171
137,rpoB_OTU_65,rpoB_OTU_223,-0.01182741,0.01182741,r,r,-0.01182741
138,rpoB_OTU_65,rpoB_OTU_331,-0.031881793,0.031881793,r,r,-0.031881793
139,rpoB_OTU_65,AMF_OTU_106,-0.032096039,0.032096039,r,A,-0.032096039
140,rpoB_OTU_65,AMF_OTU_180,0.013529755,0.013529755,r,A,-0.013529755
141,rpoB_OTU_65,AMF_OTU_43,-0.033097376,0.033097376,r,A,-0.033097376
142,rpoB_OTU_65,AMF_OTU_70,0.042992234,0.042992234,r,A,-0.042992234
143,rpoB_OTU_70,rpoB_OTU_137,0.010326297,0.010326297,r,r,-0.010326297
144,rpoB_OTU_70,rpoB_OTU_175,0.008227321,0.008227321,r,r,-0.008227321
145,rpoB_OTU_70,rpoB_OTU_178,0.039593679,0.039593679,r,r,-0.039593679
146,rpoB_OTU_70,rpoB_OTU_191,0.34901603,0.34901603,r,r,-0.34901603
147,rpoB_OTU_70,AMF_OTU_119,-0.010948992,0.010948992,r,A,-0.010948992
148,rpoB_OTU_71,rpoB_OTU_134,0.335340864,0.335340864,r,r,-0.335340864
149,rpoB_OTU_71,rpoB_OTU_165,0.002331424,0.002331424,r,r,-0.002331424
150,rpoB_OTU_71,rpoB_OTU_257,0.04390554,0.04390554,r,r,-0.04390554
151,rpoB_OTU_71,rpoB_OTU_284,0.02507203,0.02507203,r,r,-0.02507203
152,rpoB_OTU_71,AMF_OTU_112,0.126003478,0.126003478,r,A,-0.126003478
153,rpoB_OTU_71,AMF_OTU_155,0.033200722,0.033200722,r,A,-0.033200722
154,rpoB_OTU_73,rpoB_OTU_245,0.134244486,0.134244486,r,r,-0.134244486
155,rpoB_OTU_73,rpoB_OTU_358,0.050454012,0.050454012,r,r,-0.050454012
156,rpoB_OTU_73,rpoB_OTU_447,0.320719424,0.320719424,r,r,-0.320719424
157,rpoB_OTU_73,AMF_OTU_25,0.663994801,0.663994801,r,A,-0.663994801
158,rpoB_OTU_83,rpoB_OTU_94,-0.051219107,0.051219107,r,r,-0.051219107
159,rpoB_OTU_83,rpoB_OTU_164,0.033680895,0.033680895,r,r,-0.033680895
160,rpoB_OTU_83,rpoB_OTU_187,0.010190996,0.010190996,r,r,-0.010190996
161,rpoB_OTU_83,rpoB_OTU_281,0.232683384,0.232683384,r,r,-0.232683384
162,rpoB_OTU_83,rpoB_OTU_325,0.127896401,0.127896401,r,r,-0.127896401
163,rpoB_OTU_85,rpoB_OTU_198,0.020807465,0.020807465,r,r,-0.020807465
164,rpoB_OTU_85,rpoB_OTU_200,0.075096496,0.075096496,r,r,-0.075096496
165,rpoB_OTU_85,rpoB_OTU_289,0.036656682,0.036656682,r,r,-0.036656682
166,rpoB_OTU_85,AMF_OTU_124,0.025896692,0.025896692,r,A,-0.025896692
167,rpoB_OTU_85,AMF_OTU_182,0.066778971,0.066778971,r,A,-0.066778971
168,rpoB_OTU_85,AMF_OTU_56,0.210496275,0.210496275,r,A,-0.210496275
169,rpoB_OTU_89,rpoB_OTU_139,0.194471459,0.194471459,r,r,-0.194471459
