"","ASV","lab"
"398","OTU_285","OTU_285"
"399","OTU_218","OTU_218"
"400","OTU_213","OTU_213"
"401","OTU_139","OTU_139"
"402","OTU_215","OTU_215"
"403","OTU_103","OTU_103"
"404","OTU_60","OTU_60"
"405","OTU_58","OTU_58"
"406","OTU_328","OTU_328"
"407","OTU_163","OTU_163"
"408","OTU_146","OTU_146"
"409","OTU_98","OTU_98"
"410","OTU_117","OTU_117"
"411","OTU_293","OTU_293"
"412","OTU_33","OTU_33"
"413","OTU_177","OTU_177"
"414","OTU_240","OTU_240"
"415","OTU_243","OTU_243"
