"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_10062",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10063",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_10064",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10065",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10066",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10067",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10068",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10069",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10070",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10071",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_10072",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"OTU_1007",0,17,17,18,14,13,0,0,10,19,0,0,0,0,19,20,18,0
"OTU_10073",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10074",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"OTU_10075",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10076",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_10077",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10078",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_10079",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_10080",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_1008",0,0,0,0,0,0,47,48,0,0,0,0,46,0,0,34,32,0
"OTU_10081",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10082",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"OTU_10083",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_10084",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_10085",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10086",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10087",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_10088",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10089",0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0
"OTU_10090",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10091",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_10092",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10093",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10094",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_10095",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10096",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10097",0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0
"OTU_10098",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_10099",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_1009",0,63,0,8,0,0,0,0,0,0,0,0,0,0,0,0,65,0
"OTU_10100",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10101",0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
"OTU_10102",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_1010",28,19,0,22,28,0,29,0,0,0,0,15,0,23,0,0,27,0
"OTU_10103",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10104",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_10105",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10106",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_10107",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10108",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_10109",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"OTU_10110",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_1011",12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10111",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"OTU_10112",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"OTU_10113",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_101",95,126,74,108,127,0,116,120,104,82,190,0,82,109,88,131,88,103
"OTU_10114",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"OTU_10115",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_10116",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_10117",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_10118",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10119",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10120",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10121",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10122",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_10123",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_1012",0,0,0,28,0,0,26,36,23,0,0,37,0,19,46,0,0,0
"OTU_10124",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0
"OTU_10125",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
"OTU_10126",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10127",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10128",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10129",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10130",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_1013",13,13,8,0,0,0,9,19,0,0,28,16,12,11,20,21,0,19
"OTU_10131",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10132",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10133",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10134",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10135",0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0
"OTU_10136",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10137",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10138",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10139",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10140",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_1014",0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0
"OTU_10141",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10142",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10143",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10144",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10145",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10146",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10147",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10148",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10149",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10150",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_1015",13,0,18,0,15,0,20,0,0,0,0,10,0,7,15,26,12,0
"OTU_10151",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10152",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10153",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10154",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10155",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10156",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_10157",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10158",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10159",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
