"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1341","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","","",""
"OTU_13","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",""
"OTU_1343","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM2",""
"OTU_1344","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter","uncultured_bacterium"
"OTU_1345","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",""
"OTU_1346","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",""
"OTU_134","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1347","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",""
"OTU_1348","Bacteria","Actinobacteria","Acidimicrobiia","uncultured","","",""
"OTU_1349","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","",""
"OTU_135","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",""
"OTU_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"OTU_1352","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",""
"OTU_1354","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_Subgroup_3","Bryobacter","uncultured_bacterium"
"OTU_1355","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1356","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncultured","uncultured_bacterium"
"OTU_1357","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus",""
"OTU_1358","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_1361","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_1362","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",""
"OTU_1363","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_1364","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_136","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","","",""
"OTU_1365","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1366","Bacteria","Actinobacteria","Acidimicrobiia","","","",""
"OTU_1367","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1368","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",""
"OTU_1371","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1372","Bacteria","Rokubacteria","NC10","Rokubacteriales","","",""
"OTU_1373","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1376","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_1377","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","",""
"OTU_1379","Bacteria","Chloroflexi","KD4-96","","","",""
"OTU_137","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",""
"OTU_1380","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis","metagenome"
